Mon Jul 28 16:31:13 2025    timing.txt

         217305285 function calls (215635255 primitive calls) in 129.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.134    0.067 fake_backend.py:414(run)
     2595    0.010    0.000    0.134    0.000 passmanager.py:253(to_flow_controller)
       56    0.000    0.000    0.134    0.002 measures.py:145(average_gate_fidelity)
   137640    0.131    0.000    0.131    0.000 {built-in method _warnings.warn}
    12096    0.009    0.000    0.130    0.000 quantumcircuitdata.py:76(insert)
    99/92    0.000    0.000    0.128    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
    99/92    0.124    0.001    0.128    0.001 {built-in method _imp.create_dynamic}
     2463    0.020    0.000    0.127    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
1040453/1040447    0.117    0.000    0.126    0.000 {built-in method _abc._abc_instancecheck}
126234/48072    0.042    0.000    0.124    0.000 rz.py:68(__init__)
540665/536111    0.068    0.000    0.123    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.122    0.122 figure.py:1(<module>)
139982/2595    0.059    0.000    0.121    0.000 passmanager.py:263(_flatten_tasks)
    52928    0.028    0.000    0.119    0.000 quantumregister.py:31(__init__)
    17519    0.014    0.000    0.118    0.000 parametervector.py:55(__init__)
      120    0.000    0.000    0.118    0.001 artist.py:1832(kwdoc)
  1747126    0.118    0.000    0.118    0.000 bit.py:67(__hash__)
41239/41094    0.039    0.000    0.115    0.000 copy.py:62(copy)
    41768    0.100    0.000    0.115    0.000 base_pauli.py:474(_to_label)
     2592    0.009    0.000    0.115    0.000 cutting_experiments.py:276(_append_measurement_circuit)
        2    0.000    0.000    0.113    0.057 configuration.py:1(<module>)
        1    0.000    0.000    0.112    0.112 requests_ntlm.py:1(<module>)
     2592    0.002    0.000    0.112    0.000 utils.py:173(is_valid_rzz_pub)
       23    0.000    0.000    0.110    0.005 utils.py:1(<module>)
296430/295974    0.073    0.000    0.110    0.000 gate.py:249(validate_parameter)
     2592    0.027    0.000    0.109    0.000 utils.py:130(_is_valid_rzz_pub_helper)
     2620    0.009    0.000    0.109    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2463    0.107    0.000    0.107    0.000 {built-in method marshal.loads}
    83531    0.034    0.000    0.106    0.000 base_pauli.py:46(__init__)
